intervalo;setor;endereco;turno;rota_setor;frequencia
07:30 à 12:00 hs;6-02 A;R OLÍMPIO CHACON;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-02 A;R TURIAÇÚ;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-02 A;R MARIÁPOLIS;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-02 A;R GARDÊNIA;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-02 A;R PORTO UNIÃO;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-02 A;R APRÍGIO ALVES;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-02 A;R ABC;MANHÃ;7;DIARIA
13:00 à 17:20 hs;6-02 A;R TURIAÇÚ;TARDE;8;DIARIA
13:00 à 17:20 hs;6-02 A;R PORTO UNIÃO;TARDE;9;DIARIA
13:00 à 17:20 hs;6-02 A;R APRÍGIO ALVES;TARDE;10;DIARIA
13:00 à 17:20 hs;6-02 A;R ABC;TARDE;11;DIARIA
13:00 à 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;12;DIARIA
13:00 à 17:20 hs;6-02 A;R OLÍMPIO CHACON;TARDE;13;DIARIA
13:00 à 17:20 hs;6-02 A;R DJALMA HONÓRIO;TARDE;14;DIARIA
13:00 à 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;15;DIARIA
13:00 à 17:20 hs;6-02 A;R TURIAÇÚ;TARDE;16;DIARIA
13:00 à 17:20 hs;6-02 A;R GARDÊNIA;TARDE;17;DIARIA
13:00 à 17:20 hs;6-02 A;R APRÍGIO ALVES;TARDE;18;DIARIA
13:00 à 17:20 hs;6-02 A;R GARDÊNIA;TARDE;19;DIARIA
13:00 à 17:20 hs;6-02 A;R MARIÁPOLIS;TARDE;20;DIARIA
13:00 à 17:20 hs;6-02 A;R TURIAÇÚ;TARDE;21;DIARIA
07:30 à 12:00 hs;6-02 B;R DOS PRAZERES;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-02 B;TV DOS PRAZERES;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-02 B;2ª TV DOS PRAZERES;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-02 B;4ª TV DOS PRAZERES;MANHÃ;4;DIARIA
13:00 à 17:20 hs;6-02 B;R SÃO SILVESTRE;TARDE;5;DIARIA
13:00 à 17:20 hs;6-02 B;R A MURALHA;TARDE;6;DIARIA
13:00 à 17:20 hs;6-02 B;R TERRA NOSTRA;TARDE;7;DIARIA
13:00 à 17:20 hs;6-02 B;R VEREADOR TOMAZ LOBO;TARDE;8;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-04 A;AV MARTIN LUTHER KING;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-04 A;R BAHIA FORMOSA;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEICÃO DE MAÇABU;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEIÇÃO DE MAÇABU;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEICÃO DE MAÇABU;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-04 A;R IBIPORÃ;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEICÃO DE MAÇABU;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-04 A;R CONCEIÇÃO DE MAÇABU;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;7;DIARIA
07:30 à 12:00 hs;6-04 A;R MIRANDÓPOLIS;MANHÃ;8;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-04 A;AV CENTRAL;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-04 A;R HORTÊNCIA;MANHÃ;10;DIARIA
07:30 à 12:00 hs;6-04 A;TV DO CAMPO;MANHÃ;11;DIARIA
07:30 à 12:00 hs;6-04 A;R NOVA AURORA;MANHÃ;12;DIARIA
13:00 à 17:20 hs;6-04 A;R HORTÊNCIA;TARDE;13;DIARIA
13:00 à 17:20 hs;6-04 A;R HORTÊNCIA;TARDE;13;DIARIA
13:00 à 17:20 hs;6-04 A;AV CENTRAL;TARDE;14;DIARIA
13:00 à 17:20 hs;6-04 A;R BRASLÂNDIA;TARDE;15;DIARIA
13:00 à 17:20 hs;6-04 A;R ITAGUAI;TARDE;16;DIARIA
13:00 à 17:20 hs;6-04 A;R BRASLÂNDIA;TARDE;17;DIARIA
13:00 à 17:20 hs;6-04 A;R ESPERANTINA;TARDE;18;DIARIA
13:00 à 17:20 hs;6-04 A;R MIRANDÓPOLIS;TARDE;19;DIARIA
13:00 à 17:20 hs;6-04 A;R DIAMANTE DO NORTE;TARDE;20;DIARIA
13:00 à 17:20 hs;6-04 A;R GUAPIRAMA;TARDE;21;DIARIA
13:00 à 17:20 hs;6-04 A;R MIRANDÓPOLIS;TARDE;22;DIARIA
13:00 à 17:20 hs;6-04 A;R DOURADINA;TARDE;23;DIARIA
13:00 à 17:20 hs;6-04 A;R CAMBUÍ;TARDE;24;DIARIA
13:00 à 17:20 hs;6-04 A;R CAIBI;TARDE;25;DIARIA
13:00 à 17:20 hs;6-04 A;R CAETITE;TARDE;26;DIARIA
13:00 à 17:20 hs;6-04 A;R ITABAPOANA;TARDE;27;DIARIA
13:00 à 17:20 hs;6-04 A;R BUQUIM;TARDE;28;DIARIA
13:00 à 17:20 hs;6-04 A;AV MARTIN LUTHER KING;TARDE;29;DIARIA
13:00 à 17:20 hs;6-04 A;R DA DIVISA;TARDE;30;DIARIA
13:00 à 17:20 hs;6-04 A;R IBIRAMA;TARDE;31;DIARIA
07:30 à 12:00 hs;6-04 B;TV DO TAVARES;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-04 B;TV DA TRINDADE;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-04 B;TV AZUL;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-04 B;R AZUL;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-04 B;TV DA BELA VISTA;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-08;AV VEREADOR OTACÍLIO AZEVEDO;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-08;R EMBAIXADOR ASSIS CHATEAUBRIAND;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-08;R CRAVEIRO LEITE;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-08;R EMBAIXADOR ASSIS CHATEAUBRIAND;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-08;R POETA SOLANO TRINDADE;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-08;ESTR DOS MACACOS;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-08;ESTR DE PAU FERRO;MANHÃ;7;DIARIA
07:30 à 12:00 hs;6-08;ROTATÓRIA;MANHÃ;8;DIARIA
07:30 à 12:00 hs;6-08;R DOIS IRMÃOS;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-08;R LUÍS ANTÔNIO DE ARAÚJO;MANHÃ;10;DIARIA
07:30 à 12:00 hs;6-08;R ANTÔNIO FELIPE;MANHÃ;11;DIARIA
07:30 à 12:00 hs;6-08;R DO AFETO;MANHÃ;12;DIARIA
07:30 à 12:00 hs;6-08;TV ARNALDO PAES DE ANDRADE;MANHÃ;13;DIARIA
07:30 à 12:00 hs;6-08;R BARÃO CAPIBARIBE;MANHÃ;14;DIARIA
07:30 à 12:00 hs;6-08;R REITOR MANOEL RODRIGUES;MANHÃ;15;DIARIA
07:30 à 12:00 hs;6-08;R BARÃO CAPIBARIBE;MANHÃ;16;DIARIA
07:30 à 12:00 hs;6-08;R SÍTIO SÃO BRAZ;MANHÃ;17;DIARIA
13:00 às 17:20 hs;6-08;R DOIS IRMÃOS;TARDE;18;DIARIA
13:00 às 17:20 hs;6-08;ESTR DOS PINTOS;TARDE;19;DIARIA
13:00 às 17:20 hs;6-08;R PROFESSOR CLÁUDIO SELVA;TARDE;20;DIARIA
13:00 às 17:20 hs;6-08;R DA MEIGUICE;TARDE;21;DIARIA
13:00 às 17:20 hs;6-08;R SANTO ANTÔNIO;TARDE;22;DIARIA
13:00 às 17:20 hs;6-08;3ª TV ARNALDO PAES DE ANDRADE;TARDE;23;DIARIA
13:00 às 17:20 hs;6-08;R ARNALDO PAES DE MACHADO;TARDE;24;DIARIA
13:00 às 17:20 hs;6-08;R SANTA MARIA DE FÁTIMA;TARDE;25;DIARIA
13:00 às 17:20 hs;6-08;R PROFESSOR CLÁUDIO SELVA;TARDE;26;DIARIA
13:00 às 17:20 hs;6-08;R DA CONQUISTA;TARDE;27;DIARIA
13:00 às 17:20 hs;6-08;R JOÃO LIMOEIRO;TARDE;28;DIARIA
13:00 às 17:20 hs;6-08;TV ALTO SÃO JOSÉ;TARDE;29;DIARIA
13:00 às 17:20 hs;6-08;R SÍTIO SAPUCAIA;TARDE;30;DIARIA
13:00 às 17:20 hs;6-08;R DOIS IRMÃOS;TARDE;31;DIARIA
07:30 à 12:00 hs;6-10 A;AV NORTE;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA CÂNDIDA;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-10 A;R CÂNDIDA;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-10 A;R IDA MARIA;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA CÂNDIDA;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-10 A;AV JOSÉ AMERICO DE ALMEIDA;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-10 A;VALDEMAR;MANHÃ;7;DIARIA
07:30 à 12:00 hs;6-10 A;DA MACAÍBA;MANHÃ;8;DIARIA
07:30 à 12:00 hs;6-10 A;R NATÁLIA SOUZA ALVES DE MELO;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-10 A;AV JOSÉ AMERICO DE ALMEIDA;MANHÃ;10;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA CÂNDIDA;MANHÃ;11;DIARIA
07:30 à 12:00 hs;6-10 A;R CÂNDIDA;MANHÃ;12;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA AMÁLIA;MANHÃ;13;DIARIA
07:30 à 12:00 hs;6-10 A;R FLÁVIO GUERRA;MANHÃ;14;DIARIA
07:30 à 12:00 hs;6-10 A;R ITABERABA;MANHÃ;15;DIARIA
07:30 à 12:00 hs;6-10 A;R FLÁVIO GUERRA;MANHÃ;16;DIARIA
07:30 à 12:00 hs;6-10 A;R CÂNDIDA;MANHÃ;17;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA AMÁLIA;MANHÃ;18;DIARIA
07:30 à 12:00 hs;6-10 A;R AMALITA;MANHÃ;19;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA AMÁLIA;MANHÃ;20;DIARIA
07:30 à 12:00 hs;6-10 A;R ALTO DO CRUZEIRO;MANHÃ;21;DIARIA
07:30 à 12:00 hs;6-10 A;R MARGARIDA M ALVES;MANHÃ;22;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA AMÁLIA;MANHÃ;23;DIARIA
07:30 à 12:00 hs;6-10 A;R AMALITA;MANHÃ;24;DIARIA
07:30 à 12:00 hs;6-10 A;AV JOSÉ AMERICO DE ALMEIDA;MANHÃ;25;DIARIA
07:30 à 12:00 hs;6-10 A;TV MADRE LINCH;MANHÃ;26;DIARIA
07:30 à 12:00 hs;6-10 A;1ª TV IDA;MANHÃ;27;DIARIA
07:30 à 12:00 hs;6-10 A;R MADRE LINCH;MANHÃ;28;DIARIA
07:30 à 12:00 hs;6-10 A;R ANA;MANHÃ;29;DIARIA
07:30 à 12:00 hs;6-10 A;PÇA OTHON BEZERRA DE MELO;MANHÃ;30;DIARIA
07:30 à 12:00 hs;6-10 A;R IDA;MANHÃ;31;DIARIA
07:30 à 12:00 hs;6-10 A;IDA MARIA;MANHÃ;32;DIARIA
07:30 à 12:00 hs;6-10 A;1ª TV IDA;MANHÃ;33;DIARIA
07:30 à 12:00 hs;6-10 A;R REGINA;MANHÃ;34;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA DO CARMO;MANHÃ;35;DIARIA
07:30 à 12:00 hs;6-10 A;R IDA;MANHÃ;36;DIARIA
07:30 à 12:00 hs;6-10 A;R REGINA;MANHÃ;37;DIARIA
07:30 à 12:00 hs;6-10 A;R IDA;MANHÃ;38;DIARIA
07:30 à 12:00 hs;6-10 A;R CARMEN;MANHÃ;39;DIARIA
07:30 à 12:00 hs;6-10 A;R IDA;MANHÃ;40;DIARIA
07:30 à 12:00 hs;6-10 A;R MARIA DO CARMO;MANHÃ;41;DIARIA
07:30 à 12:00 hs;6-10 A;TV MADRE LINCH;MANHÃ;42;DIARIA
07:30 à 12:00 hs;6-10 A;1ª TV IDA;MANHÃ;43;DIARIA
07:30 à 12:00 hs;6-10 A;R DA MACAÍBA;MANHÃ;44;DIARIA
07:30 à 12:00 hs;6-10 A;R IDA;MANHÃ;45;DIARIA
07:30 à 12:00 hs;6-10 A;AV NORTE;MANHÃ;46;DIARIA
07:30 à 12:00 hs;6-10 A;R TIJUCAL;MANHÃ;47;DIARIA
07:30 à 12:00 hs;6-10 A;AV NORTE;MANHÃ;48;DIARIA
07:30 à 12:00 hs;6-10 A;R MESTRE PAVÃO;MANHÃ;49;DIARIA
07:30 à 12:00 hs;6-10 A;AV NORTE;MANHÃ;50;DIARIA
07:30 à 12:00 hs;6-10 A;R ITORORÓ;MANHÃ;51;DIARIA
07:30 à 12:00 hs;6-10 A;R ERUNDINA NEGREIROS DE ARAÚJO;MANHÃ;52;DIARIA
07:30 à 12:00 hs;6-10 A;R SABINO CAMPOS;MANHÃ;53;DIARIA
07:30 à 12:00 hs;6-10 A;R DULCINÉIA;MANHÃ;54;DIARIA
07:30 à 12:00 hs;6-10 A;R SABINO CAMPOS;MANHÃ;55;DIARIA
07:30 à 12:00 hs;6-10 A;R TRAJANO DE MORAIS;MANHÃ;56;DIARIA
07:30 à 12:00 hs;6-10 A;R CLARÍNIA;MANHÃ;57;DIARIA
07:30 à 12:00 hs;6-10 A;R DORALICE;MANHÃ;58;DIARIA
07:30 à 12:00 hs;6-10 A;R FERRAZ DE VASCONCELOS;MANHÃ;59;DIARIA
07:30 à 12:00 hs;6-10 A;R NOVE DE MARÇO;MANHÃ;60;DIARIA
07:30 à 12:00 hs;6-10 A;R POPULAR;MANHÃ;61;DIARIA
07:30 à 12:00 hs;6-10 A;R ALTO TRÊS MORROS;MANHÃ;62;DIARIA
07:30 à 12:00 hs;6-10 A;AV DA RECUPERAÇÃO;MANHÃ;63;DIARIA
07:30 à 12:00 hs;6-10 A;R CÓRREGO JOSÉ APRÍGIO;MANHÃ;64;DIARIA
07:30 à 12:00 hs;6-10 A;AV DA RECUPERAÇÃO;MANHÃ;65;DIARIA
07:30 à 12:00 hs;6-10 A;R CÓRREGO DO MARRECO;MANHÃ;66;DIARIA
07:30 à 12:00 hs;6-10 A;R MACIEIRA;MANHÃ;67;DIARIA
13:00 à 17:20 hs;6-10 A;R ALTO DO VENÂNCIO;TARDE;68;DIARIA
13:00 à 17:20 hs;6-10 A;1ª LD DO MARRECO;TARDE;69;DIARIA
13:00 à 17:20 hs;6-10 A;R ALTO DA LOIRA;TARDE;70;DIARIA
13:00 à 17:20 hs;6-10 A;R CÓRREGO DO MARRECO;TARDE;71;DIARIA
13:00 à 17:20 hs;6-10 A;AV DA RECUPERAÇÃO;TARDE;72;DIARIA
13:00 à 17:20 hs;6-10 A;R CÓRREGO DA LOIRA;TARDE;73;DIARIA
13:00 à 17:20 hs;6-10 A;R AVEIRO;TARDE;74;DIARIA
13:00 à 17:20 hs;6-10 A;R CÓRREGO DA LOIRA;TARDE;75;DIARIA
13:00 à 17:20 hs;6-10 A;R MIRAI;TARDE;76;DIARIA
13:00 à 17:20 hs;6-10 A;R ARACARI;TARDE;77;DIARIA
13:00 à 17:20 hs;6-10 A;R CÓRREGO DA LOIRA;TARDE;78;DIARIA
13:00 à 17:20 hs;6-10 A;AV DA RECUPERAÇÃO;TARDE;79;DIARIA
13:00 à 17:20 hs;6-10 A;AV DA RECUPERAÇÃO;TARDE;80;DIARIA
13:00 à 17:20 hs;6-10 A;R ERUNDINA NEGREIROS DE ARAÚJO;TARDE;81;DIARIA
13:00 à 17:20 hs;6-10 A;R CÓRREGO DO FERNANDINHO;TARDE;82;DIARIA
13:00 à 17:20 hs;6-10 A;AV DA RECUPERAÇÃO;TARDE;83;DIARIA
13:00 à 17:20 hs;6-10 A;R DO ALECRIM;TARDE;84;DIARIA
13:00 à 17:20 hs;6-10 A;AV NORTE;TARDE;85;DIARIA
07:30 à 12:00 hs;6-10 B;R RANUSIA ALVES RODRIGUES;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-10 B;R SÔNIA MARIA LOPES DE MORAIS;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-10 B;R RANUSIA ALVES RODRIGUES;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-10 B;R PAULINE REICHSTUE;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-10 B;R CARLOS MARICHELA;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-12;R SENADOR OSCAR PASSOS;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-12;R CÓRREGO DO JOAQUIM;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-12;R SENADOR OSCAR PASSOS;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-12;R ALTO DA QUEIMADA;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-12;R PIORINI;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-12;R BAIANÓPOLIS;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-12;R ITAUM;MANHÃ;7;DIARIA
07:30 à 12:00 hs;6-12;R SÉLVES;MANHÃ;8;DIARIA
07:30 à 12:00 hs;6-12;R CUNHA PORA;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-12;R CÓRREGO DO INÁCIO;MANHÃ;10;DIARIA
07:30 à 12:00 hs;6-12;R HERVAL SECO;MANHÃ;11;DIARIA
07:30 à 12:00 hs;6-12;R PEQUIZEIRO;MANHÃ;12;DIARIA
07:30 à 12:00 hs;6-12;R NOBRES;MANHÃ;13;DIARIA
07:30 à 12:00 hs;6-12;R CÓRREGO DO INÁCIO;MANHÃ;14;DIARIA
07:30 à 12:00 hs;6-12;R PLÍNIO COELHO;MANHÃ;15;DIARIA
07:30 à 12:00 hs;6-12;R ALTO DA BRASILEIRA;MANHÃ;16;DIARIA
07:30 à 12:00 hs;6-12;R LONTRAS;MANHÃ;17;DIARIA
07:30 à 12:00 hs;6-12;SUBIDA ALTO DO RESEVATÓRIO;MANHÃ;18;DIARIA
07:30 à 12:00 hs;6-12;R BENTO DE ABREU;MANHÃ;19;DIARIA
07:30 à 12:00 hs;6-12;R CÓRREGO DO BOLEIRO;MANHÃ;20;DIARIA
07:30 à 12:00 hs;6-12;SUBIDA ALTO DO RESEVATÓRIO;MANHÃ;21;DIARIA
07:30 à 12:00 hs;6-12;R ALTO SANTA LUZIA;MANHÃ;22;DIARIA
07:30 à 12:00 hs;6-12;R FRUTAL;MANHÃ;23;DIARIA
07:30 à 12:00 hs;6-12;R ALTO JOSÉ IDALINO;MANHÃ;24;DIARIA
07:30 à 12:00 hs;6-12;R ALTO JOSÉ IDALINO;MANHÃ;25;DIARIA
07:30 à 12:00 hs;6-12;R CURVELA;MANHÃ;26;DIARIA
07:30 à 12:00 hs;6-12;R GIMIRIM;MANHÃ;27;DIARIA
07:30 à 12:00 hs;6-12;R MIRAI;MANHÃ;28;DIARIA
07:30 à 12:00 hs;6-12;R FRUTAL;MANHÃ;29;DIARIA
07:30 à 12:00 hs;6-12;R DOM FELICIANO;MANHÃ;30;DIARIA
07:30 à 12:00 hs;6-12;R DOM FELICIANO;MANHÃ;31;DIARIA
07:30 à 12:00 hs;6-12;TV ERVAL SECO;MANHÃ;32;DIARIA
07:30 à 12:00 hs;6-12;R PORTELÂNDIA;MANHÃ;33;DIARIA
07:30 à 12:00 hs;6-12;R ALPESTRE;MANHÃ;34;DIARIA
07:30 à 12:00 hs;6-12;R PORTELÂNDIA;MANHÃ;35;DIARIA
07:30 à 12:00 hs;6-12;R SANTA BRÍGIDA;MANHÃ;36;DIARIA
07:30 à 12:00 hs;6-12;R TEOLÂNDIA;MANHÃ;37;DIARIA
13:00 à 17:20 hs;6-12;R XAVANTINA;TARDE;38;DIARIA
13:00 à 17:20 hs;6-12;R SANTA BRÍGIDA;TARDE;39;DIARIA
13:00 à 17:20 hs;6-12;R FRANCISCO CAMERINO;TARDE;40;DIARIA
13:00 à 17:20 hs;6-12;R CAMPESTRE;TARDE;41;DIARIA
13:00 à 17:20 hs;6-12;R ALTO DO REFÚGIO;TARDE;42;DIARIA
13:00 à 17:20 hs;6-12;R AGROLÂNDIA;TARDE;43;DIARIA
13:00 à 17:20 hs;6-12;R FLORESTA AZUL;TARDE;44;DIARIA
13:00 à 17:20 hs;6-12;R PINDAÍ;TARDE;45;DIARIA
13:00 à 17:20 hs;6-12;R CAMPANÁRIO;TARDE;46;DIARIA
13:00 à 17:20 hs;6-12;R FRANCISCO CAMERINO;TARDE;47;DIARIA
13:00 à 17:20 hs;6-12;R CABO HERMITO SÁ;TARDE;48;DIARIA
13:00 à 17:20 hs;6-12;R RENASCENÇA;TARDE;49;DIARIA
13:00 à 17:20 hs;6-12;R CABO HERMITO SÁ;TARDE;50;DIARIA
13:00 à 17:20 hs;6-12;R NOVA;TARDE;51;DIARIA
13:00 à 17:20 hs;6-12;R PRESIDENTE COSTA E SILVA;TARDE;52;DIARIA
13:00 à 17:20 hs;6-12;R PARALELA ALEXANDRINA;TARDE;53;DIARIA
13:00 à 17:20 hs;6-12;R PRESIDENTE COSTA E SILVA;TARDE;54;DIARIA
13:00 à 17:20 hs;6-12;R SENHOR DO BONFIM;TARDE;55;DIARIA
07:30 à 12:00 hs;6-14;R NOVA DESCOBERTA;MANHÃ;1;DIARIA
07:30 à 12:00 hs;6-14;R NOVA DESCOBERTA;MANHÃ;2;DIARIA
07:30 à 12:00 hs;6-14;R CÓRREGO DO ARCANJO;MANHÃ;3;DIARIA
07:30 à 12:00 hs;6-14;R NOVA DESCOBERTA;MANHÃ;4;DIARIA
07:30 à 12:00 hs;6-14;3ª LD SUBIDA DA PACIÊNCIA;MANHÃ;5;DIARIA
07:30 à 12:00 hs;6-14;R RITÁPOLIS;MANHÃ;6;DIARIA
07:30 à 12:00 hs;6-14;R NOVA DESCOBERTA;MANHÃ;7;DIARIA
07:30 à 12:00 hs;6-14;R BETINHA;MANHÃ;8;DIARIA
07:30 à 12:00 hs;6-14;R ALTO JARDIM PROGRESSO;MANHÃ;9;DIARIA
07:30 à 12:00 hs;6-14;R PRIMEIRA SUBIDA ALTO DO PROGRESSO;MANHÃ;10;DIARIA
07:30 à 12:00 hs;6-14;LD SUBIDA DA PITOMBINHA;MANHÃ;11;DIARIA
07:30 à 12:00 hs;6-14;TV DOM BASÍLIO;MANHÃ;12;DIARIA
07:30 à 12:00 hs;6-14;R DOM BASÍLIO;MANHÃ;13;DIARIA
07:30 à 12:00 hs;6-14;R PARATIGE;MANHÃ;14;DIARIA
07:30 à 12:00 hs;6-14;TV DOM BASÍLIO;MANHÃ;15;DIARIA
07:30 à 12:00 hs;6-14;LD SUBIDA DA PITOMBINHA;MANHÃ;16;DIARIA
07:30 à 12:00 hs;6-14;R PRIMEIRA SUBIDA ALTO DO PROGRESSO;MANHÃ;17;DIARIA
07:30 à 12:00 hs;6-14;R ALTO JARDIM PROGRESSO;MANHÃ;18;DIARIA
07:30 à 12:00 hs;6-14;R CÓRREGO DO ARCANJO;MANHÃ;19;DIARIA
07:30 à 12:00 hs;6-14;R BURITIRANO;MANHÃ;20;DIARIA
07:30 à 12:00 hs;6-14;R XAVIER;MANHÃ;21;DIARIA
07:30 à 12:00 hs;6-14;R BURITIRANO;MANHÃ;22;DIARIA
07:30 à 12:00 hs;6-14;R CÓRREGO DO ARCANJO;MANHÃ;23;DIARIA
07:30 à 12:00 hs;6-14;AV JOSÉLIA;MANHÃ;24;DIARIA
07:30 à 12:00 hs;6-14;R TEREZA CARNEIRO;MANHÃ;25;DIARIA
07:30 à 12:00 hs;6-14;R CARLOS MARICHELA;MANHÃ;26;DIARIA
07:30 à 12:00 hs;6-14;R TEREZA CARNEIRO;MANHÃ;27;DIARIA
13:00 à 17:20 hs;6-14;R TEREZA CARNEIRO;TARDE;28;DIARIA
13:00 à 17:20 hs;6-14;R CARLOS MARICHELA;TARDE;29;DIARIA
13:00 à 17:20 hs;6-14;AV JOSÉLIA;TARDE;30;DIARIA
13:00 à 17:20 hs;6-14;R ÁGUIA BRANCA;TARDE;31;DIARIA
13:00 à 17:20 hs;6-14;R DAMOLÂNDIA;TARDE;32;DIARIA
13:00 à 17:20 hs;6-14;R ALVARÃES;TARDE;33;DIARIA
13:00 à 17:20 hs;6-14;R CRAOLÂNDIA;TARDE;34;DIARIA
13:00 à 17:20 hs;6-14;R DAMOLÂNDIA;TARDE;35;DIARIA
13:00 à 17:20 hs;6-14;R CRAOLÂNDIA;TARDE;36;DIARIA
13:00 à 17:20 hs;6-14;R ÁGUIA BRANCA;TARDE;37;DIARIA
13:00 à 17:20 hs;6-14;R ATOR DOUTOR CAETÉ;TARDE;38;DIARIA
13:00 à 17:20 hs;6-14;3ª TV DO COMISSÁRIO;TARDE;39;DIARIA
13:00 à 17:20 hs;6-14;RIVELÂNDIA;TARDE;40;DIARIA
13:00 à 17:20 hs;6-14;AV JOSÉLIA;TARDE;41;DIARIA
13:00 à 17:20 hs;6-14;R ALTO DO LEONARDO;TARDE;42;DIARIA
13:00 à 17:20 hs;6-14;R TEREZA CARNEIRO;TARDE;43;DIARIA
13:00 à 17:20 hs;6-14;AV JOSÉLIA;TARDE;44;DIARIA
13:00 à 17:20 hs;6-14;R CARLOS MARICHELA;TARDE;45;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DA AREIA;TARDE;46;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DO BOLEIRO;TARDE;47;DIARIA
13:00 à 17:20 hs;6-14;R CIETO PRAIA;TARDE;48;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DO BOLEIRO;TARDE;49;DIARIA
13:00 à 17:20 hs;6-14;R ARACITABA;TARDE;50;DIARIA
13:00 à 17:20 hs;6-14;R ARAGUANA;TARDE;51;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DO BOLEIRO;TARDE;52;DIARIA
13:00 à 17:20 hs;6-14;R ARACITABA;TARDE;53;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DO BOLEIRO;TARDE;54;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DA AREIA;TARDE;55;DIARIA
13:00 à 17:20 hs;6-14;R FELISBURGO;TARDE;56;DIARIA
13:00 à 17:20 hs;6-14;LD SUBIDA DA ASSEMBLÉIA;TARDE;57;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DA AREIA;TARDE;58;DIARIA
13:00 à 17:20 hs;6-14;R CRAOLÂNDIA;TARDE;59;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DA AREIA;TARDE;60;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DA AREIA;TARDE;61;DIARIA
13:00 à 17:20 hs;6-14;R CÓRREGO DA AREIA;TARDE;62;DIARIA
